course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Must have Option 1,Except 1,,,,,,,,,,,,,,
1,MATH 161,Calculus I,8,C,MATH 161,,,,,,,,,,,,,,,,,,,,,,,,
2,SMG 100,Introduction to Natural Resources Extraction,6,D,SMG 100,,,,,,,,,,,,,,,,,,,,,,,,
3,ENG 101,Programming for Engineers,6,C-,ENG 101,,,,,,,,,,,,,,,,,,,,,,,,
4,PHYS 161,Physics I for Scientists and Engineers,8,C-,PHYS 161,,,,,,,,,,,,,,,,,,,,,,,,
5,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,,,,,,,,,,,,,,,,,,,
6,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,,,,,,,,,,,,
7,MATH 162,Calculus II,8,C,MATH 162,,,,,,,,,,,,,,,,,,,,,,,,
8,PHYS 162,Physics II for Scientists and Engineers,8,D,PHYS 162,,,,,,,,,,,,,,,,,,,,,,,,
9,CHEM 101,General Chemistry I,6,D,CHEM 101,,,,,,,,,,,,,,,,,,,,,,,,
10,Kazakh language I,,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150,,,,,,,,,,,,,,KAZ 150
11,Kazakh language II,,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150,,,,,,,,,,,,,,KAZ 150
12,WCS 210,Technical and Professional Writing,6,D,WCS 210,,,,,,,,,,,,,,,,,,,,,,,,
13,CHEM 101L,General Chemistry I Lab,2,D,CHEM 101L,,,,,,,,,,,,,,,,,,,,,,,,
14,PHIL 210,Ethics,6,D,PHIL 210,,,,,,,,,,,,,,,,,,,,,,,,
15,GEOL 101,Fundamentals of Geology,6,C-,GEOL 101,,,,,,,,,,,,,,,,,,,,,,,,
16,GEOL 201,Mineralogy and Petrology,6,D,GEOL 201,,,,,,,,,,,,,,,,,,,,,,,,
17,GEOL 202,Geologic Maps and Cross - Sections,6,C-,GEOL 202,,,,,,,,,,,,,,,,,,,,,,,,
18,GEOL 207,Geomorphology,6,D,GEOL 207,,,,,,,,,,,,,,,,,,,,,,,,
19,GEOL 204,Sedimentology and Stratigraphy,6,C-,GEOL 204,,,,,,,,,,,,,,,,,,,,,,,,
20,GEOL 205,Paleontology,6,C-,GEOL 205,,,,,,,,,,,,,,,,,,,,,,,,
21,GEOL 206,Field Geology I,6,D,GEOL 206,,,,,,,,,,,,,,,,,,,,,,,,
22,GEOL 301,Igneous and Metamorphic Petrology,6,C-,GEOL 301,,,,,,,,,,,,,,,,,,,,,,,,
23,GEOL 203,Sedimentary Petrology,6,C-,GEOL 203,,,,,,,,,,,,,,,,,,,,,,,,
24,GEOL 302,Thermodynamics and Geochemistry,6,C-,GEOL 302,,,,,,,,,,,,,,,,,,,,,,,,
25,GEOL 303,Structural Geology and Tectonics,6,C-,GEOL 303,,,,,,,,,,,,,,,,,,,,,,,,
26,GEOL 305,Geology of Ore Deposits,6,C-,GEOL 305,,,,,,,,,,,,,,,,,,,,,,,,
27,SMG 200,Resource Economics and Project Valuation,6,C-,SMG 200,,,,,,,,,,,,,,,,,,,,,,,,
28,GEOL 304,Geophysics,6,C-,GEOL 304,,,,,,,,,,,,,,,,,,,,,,,,
29,GEOL 306,Geodynamics,6,C-,GEOL 306,,,,,,,,,,,,,,,,,,,,,,,,
30,GEOL 307,Geographic Information Systems,6,D,GEOL 307,,,,,,,,,,,,,,,,,,,,,,,,
31,GEOL 309,Hydrogeology,6,C-,GEOL 309,,,,,,,,,,,,,,,,,,,,,,,,
32,GEOL 310,Field Geology II,6,D,GEOL 310,,,,,,,,,,,,,,,,,,,,,,,,
33,GEOL 401,Petroleum Geology and Geochemistry,6,D,GEOL 401,,,,,,,,,,,,,,,,,,,,,,,,
34,GEOL 402,Water Resource Management,6,D,GEOL 402,,,,,,,,,,,,,,,,,,,,,,,,
35,GEOL 404,Research Project I,6,C-,GEOL 404,,,,,,,,,,,,,,,,,,,,,,,,
36,GEOL 405,Research Project II,6,C-,GEOL 405,,,,,,,,,,,,,,,,,,,,,,,,
37,GEOL 403,Geostatistics,6,C-,GEOL 403,,,,,,,,,,,,,,,,,,,,,,,,
38,GEOL XXX,Geology Technical Electives,18,D,GEOL 412,GEOL 411,GEOL 407,GEOL 410,GEOL 308,,,,,,,,,,,,,,,,,,,,
39,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,,,,,,,,,,,,,,,,
,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,