course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Must have Option 1,Except 1
1,MATH 161,Calculus I,8,C,MATH 161,,,,,,,,,,,,,,,,,,,,
2,PHYS 161,Physics for Scientists and Engineers I with Lab,8,C-,PHYS 161,,,,,,,,,,,,,,,,,,,,
3,CSCI 151,Programming for Scientists and Engineers,8,C-,CSCI 151,,,,,,,,,,,,,,,,,,,,
4,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,,,,,,,,,,,,,,,
5,MATH 162,Calculus II,8,C,MATH 162,,,,,,,,,,,,,,,,,,,,
6,PHYS 162,Physics for Scientists and Engineers II with Lab,8,C-,PHYS 162,,,,,,,,,,,,,,,,,,,,
7,CSCI 152,Performance and Data Structures,8,D,CSCI 152,,,,,,,,,,,,,,,,,,,,
8,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,,,,,,,,
9,ROBT 201,Mechanics: Statics and Dynamics,6,C-,ROBT 201,,,,,,,,,,,,,,,,,,,,
10,ROBT 203,Electrical and Electronic Circuits I with Laboratory,8,C-,ROBT 203,,,,,,,,,,,,,,,,,,,,
11,ROBT 205,Signals and Sensing with Laboratory,8,D,ROBT 205,,,,,,,,,,,,,,,,,,,,
12,MATH 273,Linear Algebra with Applications,6,C-,MATH 273,,,,,,,,,,,,,,,,,,,,
13,ROBT 202,System Dynamics and Modeling,6,C-,ROBT 202,,,,,,,,,,,,,,,,,,,,
14,ROBT 204,Electrical and Electronic Circuits II with Laboratory,6,C-,ROBT 204,,,,,,,,,,,,,,,,,,,,
15,ROBT 206,Microcontrollers with Laboratory,8,C-,ROBT 206,,,,,,,,,,,,,,,,,,,,
16,MATH 274,Introduction to Differential Equations,6,D,MATH 274,,,,,,,,,,,,,,,,,,,,
17,WCS 2XX,Writing and Communication Core,6,D,WCS 200,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,,,,,,,,,,,,
18,ROBT 301,Mechanical Design with CAD and Machining Laboratory,8,D,ROBT 301,,,,,,,,,,,,,,,,,,,,
19,ROBT 303,Linear Control Theory with Laboratory,8,C-,ROBT 303,,,,,,,,,,,,,,,,,,,,
20,MATH 321,Probability,6,D,MATH 321,,,,,,,,,,,,,,,,,,,,
21,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,KAZ 150
27,Kazakh Language II,Core Kazakh language requirments,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,KAZ 150
23,ROBT 312,Robotics I: Kinematics and Dynamics,6,C-,ROBT 312,,,,,,,,,,,,,,,,,,,,
24,ROBT 304,Electromechanical Systems with Laboratory,8,D,ROBT 304,,,,,,,,,,,,,,,,,,,,
25,ROBT 391,Research Methods,6,C-,ROBT 391,,,,,,,,,,,,,,,,,,,,
28,ROBT 403,"Robotics II: Control, Modeling and Learning",8,D,ROBT 403,,,,,,,,,,,,,,,,,,,,
29,ROBT 491,Capstone Project I,6,D,ROBT 491,,,,,,,,,,,,,,,,,,,,
33,ROBT 402,Robotic/Mechatronic System Design,6,D,ROBT 402,,,,,,,,,,,,,,,,,,,,
34,ROBT 492,Capstone Project II,6,D,ROBT 492,,,,,,,,,,,,,,,,,,,,
30,PHIL 210,Ethics,6,D,PHIL 210,,,,,,,,,,,,,,,,,,,,
36,BUS 101,Core Course in Business,6,D,BUS 101,,,,,,,,,,,,,,,,,,,,
26,Technical Electives,Technical Elective,12,D,ROBT XXX,MATH 2XX,CHME 2XX,MAE 2XX,ECE 2XX,CSCI 2XX,CEE 2XX,MATH 3XX,CHME 3XX,MAE 3XX,ECE 3XX,CSCI 3XX,CEE 3XX,MATH 4XX,CHME 4XX,MAE 4XX,ECE 4XX,CSCI 4XX,CEE 4XX,,
35,Natural science electives,"Any BIOL, CHEM, PHYS or GEOL",12,D,BIOL XXX,CHEM XXX,PHYS XXX,GEOL XXX,,,,,,,,,,,,,,,,,
31,Social Science Elective,,6,D,SOCELECTIVE,HUMSOCELECTIVE,,,,,,,,,,,,,,,,,,,
,,,242,,,,,,,,,,,,,,,,,,,,,,